# Pathway	CSM9X23N_Abundance	HSM6XRQY_Abundance	HSM7J4NY_Abundance	HSMA33KE_Abundance	HSMA33OT_Abundance	MSM6J2QD_Abundance
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol|g__Flavonifractor.s__Flavonifractor_plautii	8.2092e-05	0	0	0.00015264	0	0
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	0	0	0	0.000148019	0	0
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	0	6.76711e-05	0	0.000155586	0.000528805	0
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0	0.000801289	0	0.00260098	0	0
HISDEG-PWY: L-histidine degradation I	0.00851093	0.0108257	0.0365417	0.00500056	0.00767575	0.0401602
HISDEG-PWY: L-histidine degradation I|g__Alistipes.s__Alistipes_putredinis	0	0	0	0	0.000499421	0
HISDEG-PWY: L-histidine degradation I|g__Alistipes.s__Alistipes_putredinis_CAG_67	0	0	0	0	0.000230261	0
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_dorei	0.00024262	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_eggerthii	0.000839845	0	0	0	0.000441441	0
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0.000108955	0	0
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_fragilis	3.4897e-06	7.88567e-05	0	3.5172e-05	0	0
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.00055607	0	0.000165953	0	0
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_ovatus	0.000224377	0.000975103	0	0.000457543	0	0.0024976
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_stercoris	0	0.00379613	0	0	0.00158999	0.00874337
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.000590379	0.000264894	0	0	0	0
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_uniformis	0.00183874	0	0	0.000470281	0.000786042	0.00877993
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	4.51815e-05	0	0	0.000251913	0	0.000751511
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_vulgatus	0.00152089	0.00177362	0	0.0010687	0.000418131	0
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	0.00137246	0.00196595	0	0.000892968	0.000404386	0
HISDEG-PWY: L-histidine degradation I|g__Parabacteroides.s__Parabacteroides_distasonis	0.000323945	0	0	0.000119805	0.000205655	0
HISDEG-PWY: L-histidine degradation I|g__Parabacteroides.s__Parabacteroides_merdae	0	0.000764999	0	0.000214197	0	0
HISDEG-PWY: L-histidine degradation I|unclassified	5.67081e-05	0	0.0208512	0.000350419	0.00120738	0
HISTSYN-PWY: L-histidine biosynthesis	0.0112527	0.0111249	0	0.00892023	0.00386058	0.00281977
HISTSYN-PWY: L-histidine biosynthesis|g__Alistipes.s__Alistipes_finegoldii	0	0	0	8.82293e-05	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Anaerotignum.s__Anaerotignum_lactatifermentans	0	0	0	9.5581e-05	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0.000347708	0	0	0.000224313	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_dorei	0.000233695	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_eggerthii	0.00106269	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0.000212993	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0.000434682	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	0	0.000682591	0	0.000244384	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.000298243	0	0.000128639	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	2.60117e-05	0.000696199	0	0.000346675	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	0.0042651	0	0	0.00031042	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.000700302	0.000283623	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.00192997	0	0	0.000694869	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.00072904	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.00109462	0.00144349	0	0.000934796	0.000832045	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	0.0012405	0.00166448	0	0.00101382	0.000703484	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	5.91897e-05	0	0	0.000473671	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Blautia.s__Ruminococcus_torques	0	0	0	0.000669517	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Dorea.s__Dorea_formicigenerans	0	0	0	3.40025e-06	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	0.000102696	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.000292544	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Flavonifractor.s__Flavonifractor_plautii	0	0	0	0.000119107	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0.00033633	0	0	0.00014444	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	0	0.000508709	0	0.000221742	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	0	0	0	0.0001185	0.000248529	0
HISTSYN-PWY: L-histidine biosynthesis|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	0	0	0	0	0.000146603	0
HISTSYN-PWY: L-histidine biosynthesis|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	0	0	0	3.76093e-05	0	0
HISTSYN-PWY: L-histidine biosynthesis|unclassified	0.000463264	0	0	0.000828574	0	0
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	6.56068e-05	6.98104e-05	0	0.000897472	0	0
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000105301	0	0
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|g__Blautia.s__Ruminococcus_torques	0	0	0	0.000390867	0	0
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|unclassified	0	0	0	8.22931e-05	0	0
HSERMETANA-PWY: L-methionine biosynthesis III	0.00184125	0.00287257	0	0.00482468	0.00149033	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0.000136469	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000242088	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Bacteroides.s__Bacteroides_fragilis	0	0.000669529	0	0.000338542	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.000490088	0	0.000160804	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0.000120926	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Blautia.s__Blautia_wexlerae	0	0	0	3.77036e-05	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Blautia.s__Ruminococcus_torques	0	0	0	0.000663041	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Dorea.s__Dorea_longicatena	0	0	0	5.60262e-05	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Dorea.s__Dorea_longicatena_CAG_42	0	0	0	0.000107858	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Flavonifractor.s__Flavonifractor_plautii	0	0.000110104	0	0.000199096	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Parabacteroides.s__Parabacteroides_distasonis	0.00033818	0	0	0.000102096	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Roseburia.s__Roseburia_faecis	0.000175086	0	0	0	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	0	0.000103781	0	0.000616516	0.000399342	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.0127469	0.0128591	0	0.0120457	0.01024	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0.000238285	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.00027062	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_caccae	0.000475285	0	0	0.000379854	6.65936e-05	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_eggerthii	0.00100582	0	0	0	0.000342359	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0.000170191	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_finegoldii	0.000547496	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_fragilis	0	0.000691032	0	0.000246495	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.000562023	0	0.000195046	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_ovatus	8.89548e-05	0.00103343	0	0.000429141	0.000122448	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_stercoris	0	0.00386347	0	0	0.00172141	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.000875495	0.000499574	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis	0.00185745	0	0	0.000560048	0.000353266	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.00132926	0	0	0.000465844	0.000202084	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_xylanisolvens	0.000160178	0	0	0.000565216	0.000143496	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Ruminococcus_torques	0	0.000110367	0	0.00087971	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Dorea.s__Dorea_formicigenerans	0	0	0	4.56745e-05	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Dorea.s__Dorea_longicatena	0	0	0	7.26601e-05	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Dorea.s__Dorea_longicatena_CAG_42	0	0	0	0.000116751	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Eubacterium.s__Eubacterium_hallii	0	0	0	0.000151422	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Eubacterium.s__Eubacterium_hallii_CAG_12	0	0	0	0.000141764	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	0.000147203	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Flavonifractor.s__Flavonifractor_plautii	8.50049e-05	0.000120933	0	0.000366441	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0	0.000142827	0	0.000496086	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Parabacteroides.s__Parabacteroides_distasonis	0.000365651	0	0	0.000137215	0.00027067	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Parabacteroides.s__Parabacteroides_merdae	0	0.000799626	0	0.000222675	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Roseburia.s__Roseburia_inulinivorans	1.08806e-05	2.56496e-05	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Roseburia.s__Roseburia_inulinivorans_CAG_15	3.17182e-06	3.58084e-05	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	0	0.000206969	0	0.0010557	0.000946954	0
LACTOSECAT-PWY: lactose and galactose degradation I	0	0	0	0.00050064	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000276047	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.000142373	0.000160168	0	0.00176755	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000151242	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Blautia.s__Ruminococcus_torques	0	0	0	0.000510314	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|unclassified	0	0	0	0.00015505	0	0
METH-ACETATE-PWY: methanogenesis from acetate	0	0	0	0.00155856	0.00520921	0
METH-ACETATE-PWY: methanogenesis from acetate|g__Blautia.s__Blautia_wexlerae	0	0	0	6.64653e-05	0.00105129	0
METH-ACETATE-PWY: methanogenesis from acetate|g__Blautia.s__Ruminococcus_torques	0	0	0	0.000265217	0	0
METH-ACETATE-PWY: methanogenesis from acetate|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0	0	0	0.000258919	0	0
METH-ACETATE-PWY: methanogenesis from acetate|unclassified	0	0	0	0	0.00165942	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0	0.000283431	0	0.000527765	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis	0.000130296	0.0001389	0	0.00163227	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000145526	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Blautia.s__Ruminococcus_torques	0	0	0	0.000477437	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|unclassified	0	0	0	0.00014623	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	0.00391181	0.00322781	0	0.00287016	0.000972924	0
NAGLIPASYN-PWY: lipid IVA biosynthesis	0.00605533	0.00310265	0	0.00235518	0.00604998	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	0.00233752	0	0	0.00062716	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.00187511	0	0	0.000531792	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.00154826	0	0	0.000386849	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	0	0	0	8.99019e-05	0.000235744	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	0	0	0	0	0.000426563	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	0.00151442	0.00251866	0	0.00597307	0.00993697	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000259372	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Anaerotignum.s__Anaerotignum_lactatifermentans	0	0	0	0.000122863	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Bacteroides.s__Bacteroides_fragilis	0	4.45309e-05	0	1.82015e-05	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.000567978	0	0.000206114	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.000244774	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Bacteroides.s__Bacteroides_xylanisolvens	2.29427e-05	0	0	0.000364416	0.000502274	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Blautia.s__Ruminococcus_torques	0	0.000100989	0	0.000931859	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Eubacterium.s__Eubacterium_hallii	0	0	0	0.000314526	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Eubacterium.s__Eubacterium_hallii_CAG_12	0	0	0	0.000289297	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Flavonifractor.s__Flavonifractor_plautii	0.000103121	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0	0	0	0.000414173	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	5.67484e-05	1.55284e-05	0	0.000321319	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Parabacteroides.s__Parabacteroides_distasonis	0.000296956	0	0	0.000152484	0.00278341	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Roseburia.s__Roseburia_faecis	0.00015535	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|unclassified	3.8998e-05	0.000162957	0	0.000528437	0.00246383	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.000931613	0.000688514	0	0.00281813	0.00243059	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Parasutterella.s__Parasutterella_excrementihominis	0	0	0	8.21046e-05	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|unclassified	0.000154555	0	0	0.000236636	0.000627389	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0	0.000154913	0	0	0	0
P108-PWY: pyruvate fermentation to propanoate I	0.000162262	9.66178e-05	0	0.000244016	0.000536214	0.00498782
P122-PWY: heterolactic fermentation	0	0	0	0	0.000123817	0
P122-PWY: heterolactic fermentation|unclassified	0	0	0	0	0.000119796	0
P161-PWY: acetylene degradation	0.000126844	0.000187474	0	0.000398119	0.0016252	0
P161-PWY: acetylene degradation|g__Flavonifractor.s__Flavonifractor_plautii	6.69076e-05	6.16407e-05	0	0.000188423	0	0
P161-PWY: acetylene degradation|unclassified	0	0	0	0	0.00131998	0
P163-PWY: L-lysine fermentation to acetate and butanoate	0	0.000243568	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	0	0	0.0203609	0.0016695	0.00193509	0.00477619
P164-PWY: purine nucleobases degradation I (anaerobic)|unclassified	0	0	0.0203609	8.94909e-05	0.000915001	0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	5.789e-05	0.000162547	0	0.00095473	0	0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)|unclassified	4.9185e-05	0	0	0	0	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0	0	0	0.000234771	0	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I|unclassified	0	0	0	0.000119765	0	0
P42-PWY: incomplete reductive TCA cycle	0	0.000110325	0	0.00023354	0.000663728	0
P42-PWY: incomplete reductive TCA cycle|unclassified	0	0	0	0	0.000563563	0
P441-PWY: superpathway of N-acetylneuraminate degradation	0.000450968	0.000627997	0	0.00145253	0.00425379	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0	0.000300493	0	0.000950442	0	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000376951	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	0.0103598	0.0126718	0	0.00862885	0.00626413	0.0140784
PANTO-PWY: phosphopantothenate biosynthesis I|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0.000122193	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000234327	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Anaerotignum.s__Anaerotignum_lactatifermentans	0	0	0	0.000195385	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_caccae	0.000350479	0	0	0.000202619	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_dorei	0.00023336	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_eggerthii	0.00115713	0	0	0	3.64356e-05	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0.000127924	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_finegoldii	0.000433905	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis	4.7687e-05	0.00092093	0	0.000422967	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.000403427	0	0.000101837	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	0.000174735	0.000657757	0	0.000294921	9.45946e-05	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_stercoris	0	0.00463083	0	0	0.000370498	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.000690809	0.000307813	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	0.000724413	0	0	0.000519324	0.000149164	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.00218488	0	0	0.000501112	0.000139685	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	0.00151895	0.00213712	0	0.00120077	0.000584988	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	0.00102849	0.00128758	0	0.000793045	0.000227163	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	5.18193e-05	0	0	0.000509769	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Blautia.s__Ruminococcus_gnavus	0	3.49423e-05	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Blautia.s__Ruminococcus_torques	0	9.42069e-05	0	0.000570747	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Dorea.s__Dorea_formicigenerans	0	0	0	4.66956e-05	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Dorea.s__Dorea_longicatena_CAG_42	0	0	0	9.35323e-05	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Eubacterium.s__Eubacterium_hallii	0	0	0	0.000159778	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Eubacterium.s__Eubacterium_hallii_CAG_12	0	0	0	0.000169288	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	9.95704e-05	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.62162e-05	4.00162e-05	0	0.000140678	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	0.000308607	0	0	0.000182555	0.000290895	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Parabacteroides.s__Parabacteroides_merdae	0	0.000768489	0	0.000203847	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Parasutterella.s__Parasutterella_excrementihominis	0	0	0	8.63261e-05	0.000755214	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Phascolarctobacterium.s__Phascolarctobacterium_faecium	0	0	0	0.000162955	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	0	0	0	0	0.000149242	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Roseburia.s__Roseburia_faecis	0.000132376	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	9.3244e-05	0	0	0.000655323	0.000962976	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.00991008	0.0108893	0	0.00793457	0.00539412	0.0143333
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0.000117068	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000159042	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_caccae	0.000286697	0	0	0.000185081	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_dorei	0.000265669	0	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_eggerthii	0.00109879	0	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0.000116174	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_finegoldii	0.000370086	0	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis	1.46039e-05	0.000768829	0	0.000284596	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.00040594	0	0.000137808	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	0.000119821	0.000507324	0	0.000262537	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_stercoris	0	0.00394933	0	0	0.000501944	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.00061722	0.000327412	0	0	0	0
